date,ip,attack_type,threat_theme,threat_level,is_malicious,abuseip_score,usage_type,abuseip_categories,abuseip_distinct_users,abuseip_last_reported,country,isp,infra_owner
2026-04-22,34.89.198.80,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,"14,15,18,20,21",3,2026-04-12T07:04:54+00:00,Germany,Google LLC,Google Cloud (europe-west3)
2026-04-22,156.200.99.53,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2024-12-16T05:00:32+00:00,Egypt,TE Data,Unknown
2026-04-22,103.85.104.41,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Myanmar,Telecom International Myanmar Company Limited,Unknown
2025-05-12,205.169.39.55,exploit_delivery,general_threat,2,1,0,Fixed Line ISP,"14,15,16,18,19,20,21,22",25,2026-04-21T20:32:06+00:00,United States,CenturyLink Communications,"Palo Alto Networks, Inc"
2026-04-22,104.255.59.208,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Thailand,"Amazon.com, Inc.",Amazon Technologies Inc
2026-04-22,13.166.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,"Amazon.com, Inc.",Amazon Technologies Inc. (us-gov-west-1)
2026-04-22,1.0.149.53,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,66.249.72.128,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,"14,15,18,19,20,21",2,2026-04-03T01:21:56+00:00,United States,Google LLC,Google LLC
2026-04-22,66.249.67.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Google LLC,Google LLC
2026-04-22,13.104.252.208,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Azure Data Factory - Data Factory Management (southcentralus)
2025-08-29,1.222.84.29,espionage,general_threat,1,1,0,Commercial,No_Reports,0,Never_Reported,South Korea,LG DACOM Corporation,Boranet
2025-08-29,167.88.175.175,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,RouterHosting LLC,RouterHosting LLC
2025-08-29,172.86.108.11,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-06-26T16:41:11+00:00,United States,RouterHosting LLC,FranTech Solutions
2026-04-22,45.90.30.143,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,United States,"nextdns, Inc.","nextdns, Inc"
2026-04-22,58.110.197.35,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Australia,SingTel Optus Pty Ltd,Optus Internet Pty Ltd
2026-04-22,200.24.131.179,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-02-02T02:38:38+00:00,Ecuador,Ufinet Panama S.A.,Negocios Y Telefonia Nedetel S.A
2026-04-22,103.187.98.191,none,verified_service,0,0,30,Fixed Line ISP,"14,18,19,20,21",7,2026-04-12T06:57:08+00:00,Bangladesh,Windstream Communication Limited,Neajul Haque Hitu
2026-04-22,15.152.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Japan,Amazon Technologies Inc.,AWS EC2 (ap-northeast-3)
2025-05-12,107.173.135.116,exploit_delivery,general_threat,2,1,27,Data Center/Web Hosting/Transit,"18,19,14,15",12,2026-03-06T05:00:59+00:00,United States,HostPapa,ColoCrossing
2026-04-22,103.246.148.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,"Amazon.com, Inc.",Amazon Technologies Inc. (ap-southeast-1)
2026-04-22,91.82.105.118,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Hungary,INVITEL Zrt.,Kerepesi 3 Kft
2026-04-22,1.0.148.154,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2025-10-16,172.245.68.110,exploit_delivery,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-07-04T07:17:36+00:00,United States,HostPapa,RackNerd LLC
2026-04-22,46.229.58.57,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Ukraine,ITKOM PE,ITKOM PE
2026-04-22,102.133.120.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,Microsoft Corporation,Microsoft Azure SQL (southafricanorth)
2026-04-22,66.249.73.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Google LLC,Google LLC
2026-04-22,104.255.59.196,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Malaysia,"Amazon.com, Inc.",Amazon Technologies Inc
2025-08-29,172.86.106.234,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-02-06T19:01:31+00:00,United States,RouterHosting LLC,FranTech Solutions
2026-04-22,78.140.154.65,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,The Netherlands,Webzilla B.V.,Webzilla B.V
2026-04-22,102.37.176.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,Microsoft Corporation,Microsoft Azure Cloud (southafricanorth)
2026-04-22,102.37.128.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,Microsoft Corporation,Microsoft Azure Cloud (southafricanorth)
2026-04-22,46.19.100.26,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-07-16T21:44:27+00:00,Armenia,GNC-Alfa CJSC,Smoisp
2026-02-20,134.122.154.171,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,CTG Server Limited,Rackip Consultancy Pte. LTD
2026-04-22,45.90.31.148,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,United States,"nextdns, Inc.","nextdns, Inc"
2026-04-22,104.153.116.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,"Amazon.com, Inc.",Amazon Technologies Inc. (us-east-1)
2026-04-22,1.0.152.148,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,1.0.156.146,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,1.0.149.164,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,13.107.6.152,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Corporation
2026-04-22,210.213.218.169,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Philippines,Philippine Long Distance Telephone Co.,1-s4co3u_itochu Corporation
2026-04-22,88.119.17.38,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Lithuania,"Telia Lietuva, AB","Telia Lietuva, AB"
2026-04-22,122.248.192.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,AMAZON-EC2,AWS EC2 (ap-southeast-1)
2026-04-22,1.0.148.120,none,verified_service,0,0,0,Fixed Line ISP,"20,14,15",10,2026-02-16T03:36:29+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,104.44.88.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Azure Cloud (westus)
2026-04-22,1.179.14.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United Kingdom,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL)
2026-04-22,13.128.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,"Amazon.com, Inc.",AWS EC2 (us-east-1)
2026-04-22,13.106.38.148,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Azure Action Group (northcentralus)
2026-04-22,192.178.5.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Google LLC,Google LLC
2026-04-22,181.191.162.127,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Brazil,Aqui Telecomunicacoes Ltda - ME,Gol Internet Banda Larga
2026-04-22,1.0.217.63,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-12-07T12:42:49+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,102.133.192.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,Microsoft Corporation,Microsoft Azure Cloud (southafricanorth)
2026-04-22,102.37.160.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,Microsoft Corporation,Microsoft Azure SQL (southafricanorth)
2026-04-22,148.77.113.94,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,United States,Cablevision Systems Corp,Wilson Orthopaedics
2026-04-22,1.0.150.221,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2025-08-29,45.61.149.62,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,RouterHosting LLC,FranTech Solutions
2025-08-29,74.48.78.66,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-02-06T23:46:59+00:00,United States,Multacom Corporation,TELUS Communications Inc
2026-04-22,34.151.74.144,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-11-14T15:14:02+00:00,Australia,Google LLC,Google Cloud (australia-southeast1)
2026-04-22,13.107.21.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Canada,Microsoft Corporation,Microsoft Corporation
2026-04-22,216.248.70.122,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,United States,Aureon Network Services,Walnut Telephone Company
2026-04-22,66.249.64.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Google LLC,Google LLC
2026-04-22,5.194.87.154,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,United Arab Emirates,EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
2026-04-22,13.107.48.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Corporation
2026-02-18,104.156.239.98,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Japan,The Constant Company,"Vultr Holdings, LLC"
2026-04-22,128.251.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Ireland,Microsoft Corporation,Microsoft Azure Cloud (northeurope)
2026-04-22,52.122.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Azure Cloud (eastus)
2026-04-22,13.107.4.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Canada,Microsoft Corporation,Microsoft Corporation
2026-02-18,149.248.11.71,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,The Constant Company,"Vultr Holdings, LLC"
2026-04-22,95.174.201.114,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Russia,"JSC ""ER-Telecom Holding""","New Telesystems, Ltd."
2026-04-22,40.108.128.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Corporation
2026-04-22,168.195.241.89,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2025-02-05T00:17:09+00:00,Brazil,Nardi & Cano Ltda,Nardi & Cano Ltda
2026-04-22,34.80.50.80,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-10-15T22:19:30+00:00,Taiwan,Google LLC,Google Cloud (asia-east1)
2026-04-22,66.249.79.128,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,18,1,2026-04-09T04:19:21+00:00,United States,Google LLC,Google LLC
2026-04-22,13.107.40.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Brazil,Microsoft Corporation,Microsoft Corporation
2026-04-22,150.171.32.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Corporation
2026-04-22,1.0.155.156,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-04-14T19:05:12+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,1.0.136.223,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,84.53.217.83,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-12-23T00:55:10+00:00,Russia,Elcom ISP,Vladimir_branch_RT Limited
2026-04-22,122.154.129.54,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,National Telecom Public Company Limited,:: Corporate Internet NT Services
2026-04-22,61.83.171.53,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,South Korea,Korea Telecom,Kornet
2026-04-22,1.0.144.86,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,1.0.133.100,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2023-10-27T14:20:41+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,1.0.145.175,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,66.249.72.64,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,"20,14,15",1,2026-04-14T09:06:44+00:00,United States,Google LLC,Google LLC
2025-09-05,44.215.108.109,brute_force,cloud_services,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Amazon.com,AWS EC2 (us-east-1)
2026-04-22,1.0.0.19,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,Australia,"Cloudflare, Inc",APNIC and Cloudflare DNS Resolver project
2026-04-22,1.0.150.138,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2023-03-23T21:54:40+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,13.104.252.224,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,India,Microsoft Corporation,Microsoft Azure Data Factory - Data Factory Management (jioindiawest)
2026-04-22,81.218.223.12,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Israel,BEZEQINT-ADSL,Skynet Group
2026-04-22,1.0.145.178,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,87.19.252.102,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Italy,Telecom Italia S.p.A. TIN EASY LITE,INTERBUSINESS
2026-04-22,186.1.180.122,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Colombia,Dialnet de Colombia S.A. E.S.P.,Dialnet de Colombia S.A. E.S.P
2026-04-22,1.0.132.140,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2025-08-29,103.253.40.199,espionage,general_threat,1,1,0,Fixed Line ISP,No_Reports,0,Never_Reported,Hong Kong,Tele Asia Limited,RMP Protection Limited
2025-08-29,45.61.165.157,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,RouterHosting LLC,FranTech Solutions
2026-04-22,1.4.200.157,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2025-08-20T22:45:56+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,1.172.179.226,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Taiwan,"Chunghwa Telecom Co., Ltd.",Chunghwa Telecom Co. Ltd.
2026-04-22,102.133.64.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,Microsoft Corporation,Microsoft Azure Cloud (southafricawest)
2025-05-12,47.97.42.177,exploit_delivery,general_threat,2,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-09-13T19:26:32+00:00,China,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD"
2026-04-22,1.0.141.217,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2024-12-12T06:31:16+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-02-20,31.40.204.103,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Türkiye,"Fiba Cloud Operation Company, LLC","White Label Services, LLC"
2026-04-22,165.73.125.194,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2021-11-15T18:51:44+00:00,South Africa,Afrihost,AFRIHOST SP (PTY) LTD
2025-08-29,91.231.186.227,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United Kingdom,Clouvider Limited,BlueVPS OU
2026-04-22,104.255.59.130,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Australia,"Amazon.com, Inc.",Amazon Technologies Inc
2026-04-22,1.0.150.170,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2021-04-01T03:20:58+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,13.105.14.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Azure Cloud (westus2)
2026-04-22,13.107.224.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Canada,Microsoft Corporation,Microsoft Corporation
2026-04-22,34.147.110.144,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-08-01T06:40:57+00:00,Netherlands,Google LLC,Google Cloud (europe-west4)
2026-04-22,67.182.97.110,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc"
2025-08-29,190.131.194.90,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Colombia,Columbus Networks de Colombia Limitada,Liberty Networks De Colombia
2026-04-22,1.0.156.233,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-02-01,146.0.41.207,espionage,mobile_devices,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Germany,WIIT AG,Myloc De Steffenruehl
2026-04-22,103.183.68.8,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Bangladesh,Elma Multimedia,Asif Chowdhury
2026-04-22,116.129.226.128,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2024-01-06T15:21:28+00:00,China,China Unicom CHINA169 Network,AWS CloudFront (GLOBAL)
2026-04-22,1.0.150.137,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2025-12-22T23:40:10+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,104.255.57.176,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,"Amazon.com, Inc.",Amazon Technologies Inc. (us-east-2)
2026-04-22,46.253.128.38,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Russia,Directive LLC,Directive LLC
2026-04-22,13.107.213.0,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,Canada,Microsoft Corporation,Microsoft Corporation
2026-04-22,104.255.58.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Spain,"Amazon.com, Inc.",Amazon Technologies Inc
2025-05-12,85.106.113.168,exploit_delivery,general_threat,2,1,0,Fixed Line ISP,No_Reports,0,2025-10-05T18:44:42+00:00,Türkiye,Turk Telekomunikasyon A.S,TurkTelecom
2025-07-21,103.186.30.186,exploit_delivery,cloud_services,4,1,25,Data Center/Web Hosting/Transit,"14,15,18,19,21,22",12,2026-02-25T20:13:50+00:00,Indonesia,CV Andhika Pratama Sanggoro,SMK Adi Sanggoro
2026-04-22,83.248.203.136,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Sweden,COMHEM,Tele2 AB
